,0,1,2,3
22,30.78363781,22.928081,31.12294734,27.96232509
22.1,30.26493988,30.85691333,30.26016275,36.5980019
22.2,32.47534381,32.4266707,36.77977582,33.0077424
22.3,35.23174963,33.82949462,35.52280257,33.96594363
22.4,32.18007608,33.02997672,32.18849021,37.10794962
22.5,30.60622279,31.73381447,30.60770691,30.6063902
22.6,43.69477786,35.64793483,34.38320539,41.38891124
22.7,44.2966535,44.29876647,44.29680992,42.99588745
22.8,37.05639309,37.0609764,38.19532207,37.05501867
22.9,29.28378411,29.70723248,29.70934316,29.70423208
23,32.5705938,32.49724097,32.55504923,32.57739833
23.1,31.60638656,30.60214167,38.97589578,31.18280412
23.2,45.95968281,47.33688757,44.66026192,37.66277241
23.3,30.89591244,31.5974594,37.68154891,34.04652654
23.4,32.36755456,32.36064888,32.35730838,32.08396082
23.5,30.3838547,32.5923502,164.8739679,31.2580378
23.6,36.93804381,36.96342247,37.55065131,36.96159056
23.7,30.25869268,30.79218243,30.79713889,30.78947186
23.8,41.16397296,38.71108597,38.71744649,38.73856449
23.9,39.36855669,39.66580758,39.45039848,39.67510897
24,29.07087172,29.49911469,32.67128689,29.07149241
24.1,31.8711717,31.2287947,30.10567302,31.67176152
24.2,49.39756022,44.84933739,51.43629937,44.05413924
24.3,32.36223378,41.21449502,36.90313091,33.21264798
24.4,39.05966251,28.50382222,58.39458462,43.70828874
24.5,43.16710289,36.08959784,30.63603444,22.85982213
24.6,50.15355923,116.3994832,22.29579931,26.84030665
24.7,35.78622672,35.78821646,35.76483585,34.73283522
24.8,29.77267595,25.63463834,20.73656189,27.62673791
24.9,32.41635891,27.45099906,26.39673716,23.38338755
25,33.98724871,36.36333478,34.76974614,33.98732442
25.1,33.05491074,31.09642275,31.11979185,31.10595354
25.2,22.92742957,22.93850096,21.40624919,19.32219361
25.3,33.16953186,24.58510926,36.48398511,36.51234513
25.4,33.85317042,31.02668721,32.71082098,31.64361047
25.5,12.85047208,31.46178869,186.8042419,33.42497313
25.6,18.01981206,39.44163481,35.3312951,39.46824595
25.7,23.98922638,23.99113635,27.52179388,23.81942452
25.8,17.3688307,23.86606957,16.97555291,32.66101324
25.9,30.35357786,30.40018493,13.0829235,24.0509255
26,26.45084172,16.48638788,20.88931566,27.25575342
26.1,17.94793906,17.93080632,29.95922315,27.42472191
26.2,20.96147906,22.90810987,40.92926381,22.91715571
26.3,17.64320577,29.88347003,29.87364925,23.18145896
26.4,31.36121221,30.30366684,30.29345361,28.86296613
26.5,17.0212195,16.96165562,15.69292557,16.78015646
26.6,11.92330043,18.98538673,16.70813709,17.62945467
26.7,40.73677204,24.28234562,28.14562788,28.16873216
26.8,38.65137708,24.25151349,24.37609063,24.24444544
26.9,23.81485461,23.81764744,24.87768352,14.60221505
27,17.2553129,20.42531697,17.26625661,12.3790988
27.1,15.48808908,13.87708692,13.08235784,13.88238973
27.2,17.98075868,19.45257492,17.9793616,19.32735434
27.3,15.23284234,45.20084484,428.822953,14.10300739
27.4,21.25958326,21.26867486,22.00160782,21.2539749
27.5,26.01959115,7.593867635,27.52044633,26.03647007
27.6,15.10918591,523.9703135,17.91972906,15.25890335
27.7,16.11970157,16.35151359,12.95330562,16.87661005
27.8,13.84584384,12.04793662,14.78499166,14.26020765
27.9,14.67153125,15.90994439,14.66470444,13.94060136
28,23.38069962,24.40325984,15.52621975,23.45162626
28.1,13.92597489,15.08394797,13.91916435,12.21812802
28.2,10.60937691,11.96471312,11.12366504,11.12430992
28.3,11.64668073,7.950966277,14.80810007,8.211559449
28.4,210.2845989,13.65016845,15.83985018,16.34246491
28.5,16.91336488,16.56054981,16.87858549,15.62099107
28.6,8.482077494,13.02828425,54.65525774,12.32021833
28.7,57.08405721,11.67751257,12.51327467,12.51211304
28.8,12.6616033,5.228369192,12.88111296,11.46166896
28.9,12.96036779,11.48783256,10.82894978,14.8496227
29,12.75314754,13.56219758,12.74829668,8.18247529
29.1,8.623228176,9.909450258,8.678324482,10.17453692
29.2,12.03554734,10.28913106,9.843209215,55.44542096
29.3,11.04049327,9.705009827,11.04602623,29.11730451
29.4,6.282760911,11.59668451,10.51459923,2.711257697
29.5,29.37300496,11.46747699,10.97066849,11.47160814
29.6,9.94190759,33.21892754,30.00157014,33.23208368
29.7,7.863469023,10.54776476,10.79603351,48.00998904
29.8,59.92943129,150.4993376,33.56664508,95.86825503
29.9,11.14766488,9.677411074,7.984857263,43.68728029
30,11.04888215,7.542936069,35.93678982,43.70330979
30.1,9.07005954,6.515060492,346.916466,8.737291868
30.2,17.26797297,15.5618821,17.03313352,9.787079553
30.3,6.53583738,3.424636129,9.897547105,46.99188449
30.4,10.15725377,6.527386144,9.415928071,431.343805
30.5,40.86347969,29.37473648,34.66060119,43.41729428
30.6,9.062269695,10.26628378,10.41811577,11.26489139
30.7,17.46558211,17.08517894,100.8012331,20.37505252
30.8,6.721862694,18.33900431,8.392637485,20.09271725
30.9,53.343399,27.98536791,8.96173134,32.07697405
31,35.76781379,16.15845826,5.187129147,10.12007857
31.1,116.8381291,8.891721681,7.016077345,61.99257909
31.2,6.441767526,20.2661318,10.56688264,65.9460939
31.3,16.15354596,2.658721263,23.17261014,11.06929146
31.4,30.28390373,14.21694216,30.30011915,10.38980801
31.5,7.6622573,13.07458789,1.1656559,11.40614053
31.6,14.6106434,14.60846931,4.287325822,9.206484979
31.7,8.867229159,8.980147778,45.5791742,9.38198417
31.8,9.278243941,14.03971386,22.15373763,17.78206461
31.9,11.79836442,8.619969247,7.78454912,13.15298058
32,5.342163606,14.88968619,10.3496437,23.05313668
32.1,9.342151593,9.882916572,25.67755879,5.111594458
32.2,8.306051307,35.38801989,15.37895989,19.5322137
32.3,4.673531091,16.50505779,5.595893313,13.53315396
32.4,12.29605413,11.14870947,10.93125637,13.59199502
32.5,8.223041193,7.235151924,17.10379834,9.167015063
32.6,19.92412585,19.91785575,17.81803581,7.914633637
32.7,11.06956361,7.833133225,11.06447659,17.9221286
32.8,11.77432623,14.10271686,4.863719101,14.03795593
32.9,15.93110473,12.12586562,10.11028389,19.08225271
33,6.865982809,8.386294609,11.56503444,11.73642322
33.1,4.466589245,4.869274798,2.667545407,8.107269599
33.2,8.518645634,16.34566421,0.533885909,16.37730456
33.3,11.55457469,10.91056645,16.11621618,16.11597682
33.4,7.513907353,10.7540145,39.78477093,11.1679116
33.5,7.776461976,6.483062584,7.774037428,7.987105228
33.6,9.805336029,9.492913893,12.4203199,9.802549532
33.7,20.21336386,11.73203526,8.10024838,10.92540464
33.8,11.56044479,6.084925224,2.826869563,11.56416837
33.9,9.154954331,9.156610411,3.018983236,8.871862933
34,8.932868806,9.569235569,6.621224697,6.051641981
34.1,6.246892344,12.06283285,3.340608848,1.075431428
34.2,6.540105308,4.165680158,6.644004776,5.951629933
34.3,7.531950467,8.282113691,7.232972775,7.198724005
34.4,8.455212622,583.4108933,4.619008485,6.493926852
34.5,9.135117667,6.119385804,1.765833299,6.509587756
34.6,62.75607031,10.71451822,7.613992161,9.253946196
34.7,2.781378365,7.702348596,2.184081388,2.806770161
34.8,10.121688,4.376310388,6.169941506,10.52780279
34.9,2.174389047,5.746256148,2.394682212,2.958728449
35,5.321566911,5.732991996,2.937913645,74.78415244
35.1,3.887976761,4.634015645,2.199443045,5.014020222
35.2,6.396106235,2.409219461,77.23271867,3.836987825
35.3,3.166751864,8.382400922,7.151190835,2.557665439
35.4,11.54550253,3.728783275,2.384892343,2.686630964
35.5,5.115049237,0.043078862,1.336772902,2.826511167
35.6,8.013137643,2.577821455,4.417804492,4.851912821
35.7,3.259760889,0.655565247,0.029108846,2.786240645
35.8,0.6169474,4.796654984,3.177900852,70.07018539
35.9,1.712984939,2.310562577,2.973234532,4.784316954
36,4.913332107,1.203532518,2.587848965,1.129052631
